client_id,created_at,enable_ai_esp_matching,follow_up_percentage,id,max_leads_per_day,min_time_btwn_emails,name,parent_campaign_id,schedule_start_time,scheduler_cron_value.days,scheduler_cron_value.endHour,scheduler_cron_value.startHour,scheduler_cron_value.tz,send_as_plain_text,status,stop_lead_settings,track_settings,unsubscribe_text,updated_at,user_id
3864,2025-09-12T16:03:06.770Z,False,100,2468134,200,7,Out of Office,2468129,,"[1, 2, 3, 4, 5]",11:22,06:20,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
3864,2025-09-12T16:03:06.572Z,True,50,2468129,450,17,9/12 ALM | Sequence #23: Hiring Signals for marketing specialists | Apollo.io Hiring Signals | Using Reassigned POI Endy senders + Inhouse200_June20) | NOTRACK | Region: US | Marketing Agencies,,,"[1, 2, 3, 4, 5, 6, 0]",18:53,09:05,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_LINK_CLICK"", ""DONT_EMAIL_OPEN""]",,2025-09-14T04:00:20.863Z,2368
1885,2025-09-12T14:49:27.682Z,False,40,2467931,715,20,"9/12 | ECA | Seq #40 Performance-Based Offer w/ Case Studies + No-Risk Guarantee ($200K+ | NOTRACK | Shopify Plus| Mixed senders | Voltic+CI+Google inhouse + Aero-order1 Aug28 senders | ( US,CA)",,,"[1, 3, 4, 5, 0, 6, 2]",19:44,09:22,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
13148,2025-09-12T09:46:12.579Z,False,100,2466910,100,10,Out of Office,2466907,,"[1, 2, 3, 4, 5]",18:39,10:49,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
13148,2025-09-12T09:46:12.487Z,False,40,2466907,396,20,9/12 | PRS | Sequence #8: Refreshed variant of Seq #7 – Direct Offer + Credibility Drop-In | Outscraper/Findymail| Mixed | Using winnr_mgt11_july2 senders  | Region (UK) | NOTRACK | ( Digital Marketing Agency ) leads,,,"[2, 1, 3, 4, 5, 6, 0]",19:00,09:15,Europe/London,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_LINK_CLICK"", ""DONT_EMAIL_OPEN""]",,2025-09-14T10:36:36.922Z,2368
18459,2025-09-12T09:28:40.255Z,False,40,2466862,100,20,OOO,2466861,,"[1, 2, 3, 4, 5]",19:38,08:09,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
18459,2025-09-12T09:28:40.192Z,False,10,2466861,1300,10,09/12| AMZ|Sequence #25: Review removal angle revised| NO TRACK|Amazon|mix|winnr ,,,"[1, 2, 3, 4, 5]",19:44,10:09,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T11:03:35.903Z,2368
106575,2025-09-12T09:09:24.182Z,False,50,2466825,300,15,09/12 | PEG | Sequence #1: Reduce CPL: Unique Angle Based on Intro Offer | NOTRACK | AP | Healthcare | Language - German,,,"[1, 2, 3, 4, 5]",19:01,09:46,Europe/Berlin,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T10:01:55.878Z,2368
8872,2025-09-12T09:06:59.431Z,False,100,2466720,100,20,Warm FUs,2466717,,"[1, 2, 3, 4, 5]",16:34,09:30,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
8872,2025-09-12T09:06:59.345Z,False,100,2466718,100,20,OOO,2466717,,"[1, 2, 3, 4, 5]",14:06,09:02,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
